CaseID;Prefix length;Ground truth;Predicted
7482;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7483;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7484;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7485;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7487;2;b'!';b'!'
7488;2;b'Record Goods Receipt';b'Record Goods Receipt'
7489;2;b'Record Goods Receipt';b'Record Goods Receipt'
7490;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7491;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7492;2;b'Change Quantity';b'Clear Invoice'
7493;2;b'Cancel Goods Receipt';b'Record Goods Receipt'
7494;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7495;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7496;2;b'Record Goods Receipt';b'Record Goods Receipt'
7497;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7498;2;b'Remove Payment Block';b'Clear Invoice'
7499;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7500;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7501;2;b'Create Purchase Order Item';b'Record Invoice Receipt'
7502;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7503;2;b'Change Price';b'Clear Invoice'
7504;2;b'Record Goods Receipt';b'Record Goods Receipt'
7505;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7506;2;b'Reactivate Purchase Order Item';b'!'
7507;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7508;2;b'Record Goods Receipt';b'Record Goods Receipt'
7509;2;b'!';b'Record Goods Receipt'
7510;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7511;2;b'Clear Invoice';b'Clear Invoice'
7512;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7513;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7514;2;b'Record Goods Receipt';b'Clear Invoice'
7515;2;b'Clear Invoice';b'Clear Invoice'
7516;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7517;2;b'Record Goods Receipt';b'Record Invoice Receipt'
7518;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7519;2;b'Record Goods Receipt';b'Record Goods Receipt'
7520;2;b'Record Invoice Receipt';b'Record Goods Receipt'
7521;2;b'Record Goods Receipt';b'Record Goods Receipt'
7522;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7523;2;b'Record Goods Receipt';b'Clear Invoice'
7524;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7525;2;b'Record Invoice Receipt';b'Record Goods Receipt'
7526;2;b'Change Price';b'Record Goods Receipt'
7527;2;b'!';b'Clear Invoice'
7528;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7529;2;b'Record Goods Receipt';b'Record Goods Receipt'
7530;2;b'Change Quantity';b'Record Goods Receipt'
7531;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7532;2;b'Change Quantity';b'Record Goods Receipt'
7533;2;b'!';b'Record Invoice Receipt'
7534;2;b'Record Goods Receipt';b'Record Goods Receipt'
7535;2;b'Clear Invoice';b'Clear Invoice'
7536;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7537;2;b'Record Goods Receipt';b'Record Goods Receipt'
7538;2;b'Record Goods Receipt';b'Clear Invoice'
7539;2;b'!';b'Record Invoice Receipt'
7540;2;b'!';b'!'
7541;2;b'Clear Invoice';b'Clear Invoice'
7542;2;b'Receive Order Confirmation';b'Record Goods Receipt'
7543;2;b'Record Goods Receipt';b'Clear Invoice'
7544;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7545;2;b'Change Approval for Purchase Order';b'Change Approval for Purchase Order'
7546;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7547;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7548;2;b'!';b'Record Invoice Receipt'
7549;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7550;2;b'Change Price';b'Record Goods Receipt'
7551;2;b'Clear Invoice';b'Clear Invoice'
7552;2;b'!';b'Record Invoice Receipt'
7553;2;b'Clear Invoice';b'Clear Invoice'
7554;2;b'!';b'Record Invoice Receipt'
7555;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7556;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7557;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7558;2;b'!';b'!'
7559;2;b'Record Goods Receipt';b'Record Goods Receipt'
7560;2;b'Record Goods Receipt';b'Record Goods Receipt'
7561;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7562;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7563;2;b'Remove Payment Block';b'Clear Invoice'
7564;2;b'Record Goods Receipt';b'Record Goods Receipt'
7565;2;b'Clear Invoice';b'Record Invoice Receipt'
7566;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7567;2;b'Record Goods Receipt';b'Record Goods Receipt'
7568;2;b'Record Invoice Receipt';b'Record Goods Receipt'
7569;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7570;2;b'Record Invoice Receipt';b'Record Goods Receipt'
7571;2;b'Clear Invoice';b'Record Invoice Receipt'
7572;2;b'Record Goods Receipt';b'Record Goods Receipt'
7573;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7574;2;b'Remove Payment Block';b'Clear Invoice'
7575;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7576;2;b'Record Invoice Receipt';b'Record Invoice Receipt'
7577;2;b'Record Goods Receipt';b'Record Goods Receipt'
