CaseID;Prefix length;Ground truth;Predicted
0;2;b'Take in charge ticket';b'Resolve ticket'
1;2;b'Resolve ticket';b'Resolve ticket'
2;2;b'Resolve ticket';b'Resolve ticket'
3;2;b'Resolve ticket';b'Resolve ticket'
4;2;b'Resolve ticket';b'Resolve ticket'
5;2;b'Resolve ticket';b'Resolve ticket'
6;2;b'Assign seriousness';b'Take in charge ticket'
7;2;b'Resolve ticket';b'Resolve ticket'
8;2;b'Take in charge ticket';b'Assign seriousness'
9;2;b'Resolve ticket';b'Resolve ticket'
10;2;b'Resolve ticket';b'Resolve ticket'
11;2;b'Resolve ticket';b'Resolve ticket'
12;2;b'Resolve ticket';b'Resolve ticket'
13;2;b'Resolve ticket';b'Resolve ticket'
14;2;b'Take in charge ticket';b'Take in charge ticket'
15;2;b'Take in charge ticket';b'Resolve ticket'
16;2;b'Resolve ticket';b'Resolve ticket'
17;2;b'Resolve ticket';b'Resolve ticket'
18;2;b'Resolve ticket';b'Resolve ticket'
19;2;b'Wait';b'Resolve ticket'
20;2;b'Resolve ticket';b'Resolve ticket'
21;2;b'Wait';b'Resolve ticket'
22;2;b'Resolve ticket';b'Resolve ticket'
23;2;b'Resolve ticket';b'Resolve ticket'
24;2;b'Resolve ticket';b'Resolve ticket'
25;2;b'Wait';b'Resolve ticket'
26;2;b'Resolve ticket';b'Resolve ticket'
27;2;b'Create SW anomaly';b'Resolve ticket'
28;2;b'Resolve ticket';b'Resolve ticket'
29;2;b'Resolve ticket';b'Resolve ticket'
30;2;b'Create SW anomaly';b'Resolve ticket'
31;2;b'Resolve ticket';b'Resolve ticket'
32;2;b'Resolve ticket';b'Resolve ticket'
33;2;b'Wait';b'Resolve ticket'
34;2;b'Closed';b'Closed'
35;2;b'Resolve ticket';b'Resolve ticket'
36;2;b'Resolve ticket';b'Resolve ticket'
37;2;b'Resolve ticket';b'Resolve ticket'
38;2;b'Wait';b'Resolve ticket'
39;2;b'Resolve ticket';b'Resolve ticket'
40;2;b'Resolve ticket';b'Resolve ticket'
41;2;b'Resolve ticket';b'Resolve ticket'
42;2;b'Resolve ticket';b'Resolve ticket'
43;2;b'Resolve ticket';b'Resolve ticket'
44;2;b'Resolve ticket';b'Resolve ticket'
45;2;b'Take in charge ticket';b'Resolve ticket'
46;2;b'Resolve ticket';b'Resolve ticket'
47;2;b'Take in charge ticket';b'Assign seriousness'
48;2;b'Wait';b'Resolve ticket'
49;2;b'Resolve ticket';b'Resolve ticket'
50;2;b'Wait';b'Resolve ticket'
51;2;b'Resolve ticket';b'Resolve ticket'
52;2;b'Wait';b'Resolve ticket'
53;2;b'Resolve ticket';b'Resolve ticket'
54;2;b'Wait';b'Resolve ticket'
55;2;b'Closed';b'Closed'
56;2;b'Resolve ticket';b'Resolve ticket'
57;2;b'Require upgrade';b'Assign seriousness'
58;2;b'Resolve ticket';b'Resolve ticket'
59;2;b'Wait';b'Resolve ticket'
60;2;b'Resolve ticket';b'Resolve ticket'
61;2;b'Closed';b'Closed'
62;2;b'Resolve ticket';b'Resolve ticket'
63;2;b'Wait';b'Take in charge ticket'
64;2;b'Wait';b'Resolve ticket'
65;2;b'Resolve ticket';b'Resolve ticket'
66;2;b'Resolve ticket';b'Resolve ticket'
67;2;b'Resolve ticket';b'Resolve ticket'
68;2;b'Resolve ticket';b'Resolve ticket'
69;2;b'Wait';b'Resolve ticket'
70;2;b'Resolve ticket';b'Resolve ticket'
71;2;b'Resolve ticket';b'Resolve ticket'
72;2;b'Closed';b'Closed'
73;2;b'!';b'!'
74;2;b'Take in charge ticket';b'Take in charge ticket'
75;2;b'Closed';b'Closed'
76;2;b'Wait';b'Resolve ticket'
77;2;b'Resolve ticket';b'Resolve ticket'
78;2;b'Wait';b'Resolve ticket'
79;2;b'Resolve ticket';b'Resolve ticket'
80;2;b'Wait';b'Resolve ticket'
81;2;b'Wait';b'Resolve ticket'
82;2;b'Wait';b'Resolve ticket'
83;2;b'Resolve ticket';b'Resolve ticket'
84;2;b'Resolve ticket';b'Resolve ticket'
85;2;b'Wait';b'Resolve ticket'
86;2;b'Wait';b'Resolve ticket'
87;2;b'Wait';b'Take in charge ticket'
88;2;b'Resolve ticket';b'Resolve ticket'
89;2;b'Resolve ticket';b'Resolve ticket'
90;2;b'Resolve ticket';b'Resolve ticket'
91;2;b'Resolve ticket';b'Resolve ticket'
92;2;b'Resolve ticket';b'Resolve ticket'
93;2;b'Resolve ticket';b'Resolve ticket'
94;2;b'Resolve ticket';b'Resolve ticket'
95;2;b'Resolve ticket';b'Resolve ticket'
96;2;b'Resolve ticket';b'Resolve ticket'
97;2;b'Resolve ticket';b'Resolve ticket'
98;2;b'Resolve ticket';b'Resolve ticket'
99;2;b'Require upgrade';b'Resolve ticket'
100;2;b'Take in charge ticket';b'Assign seriousness'
101;2;b'Resolve ticket';b'Resolve ticket'
102;2;b'Take in charge ticket';b'Take in charge ticket'
103;2;b'Resolve ticket';b'Resolve ticket'
104;2;b'Wait';b'Resolve ticket'
105;2;b'Closed';b'Closed'
106;2;b'Wait';b'Resolve ticket'
107;2;b'Resolve ticket';b'Resolve ticket'
108;2;b'Wait';b'Resolve ticket'
109;2;b'Resolve ticket';b'Resolve ticket'
110;2;b'Resolve ticket';b'Resolve ticket'
111;2;b'Resolve ticket';b'Resolve ticket'
112;2;b'Take in charge ticket';b'Assign seriousness'
113;2;b'Wait';b'Resolve ticket'
114;2;b'Wait';b'Resolve ticket'
115;2;b'Resolve ticket';b'Resolve ticket'
116;2;b'Resolve ticket';b'Resolve ticket'
117;2;b'Resolve ticket';b'Resolve ticket'
118;2;b'Resolve ticket';b'Resolve ticket'
119;2;b'Wait';b'Resolve ticket'
120;2;b'Resolve ticket';b'Resolve ticket'
121;2;b'Resolve ticket';b'Resolve ticket'
122;2;b'Wait';b'Resolve ticket'
123;2;b'Resolve ticket';b'Resolve ticket'
124;2;b'Wait';b'Resolve ticket'
125;2;b'Resolve ticket';b'Take in charge ticket'
126;2;b'Resolve ticket';b'Resolve ticket'
127;2;b'Resolve ticket';b'Closed'
128;2;b'Closed';b'Closed'
129;2;b'Take in charge ticket';b'Assign seriousness'
130;2;b'Resolve ticket';b'Resolve ticket'
131;2;b'Wait';b'Resolve ticket'
132;2;b'Take in charge ticket';b'Take in charge ticket'
133;2;b'Resolve ticket';b'Resolve ticket'
134;2;b'Wait';b'Resolve ticket'
135;2;b'Resolve ticket';b'Resolve ticket'
136;2;b'Wait';b'Resolve ticket'
137;2;b'Resolve ticket';b'Resolve ticket'
138;2;b'Resolve ticket';b'Resolve ticket'
139;2;b'Resolve ticket';b'Resolve ticket'
140;2;b'Wait';b'Resolve ticket'
141;2;b'Resolve ticket';b'Resolve ticket'
142;2;b'Wait';b'Resolve ticket'
143;2;b'Wait';b'Resolve ticket'
144;2;b'Require upgrade';b'Resolve ticket'
145;2;b'Resolve ticket';b'Resolve ticket'
146;2;b'Resolve ticket';b'Resolve ticket'
147;2;b'Resolve ticket';b'Resolve ticket'
148;2;b'Resolve ticket';b'Resolve ticket'
149;2;b'Take in charge ticket';b'Assign seriousness'
150;2;b'Resolve ticket';b'Resolve ticket'
151;2;b'Resolve ticket';b'Resolve ticket'
152;2;b'Resolve ticket';b'Resolve ticket'
153;2;b'Wait';b'Resolve ticket'
154;2;b'Wait';b'Resolve ticket'
155;2;b'Resolve ticket';b'Resolve ticket'
156;2;b'Resolve ticket';b'Resolve ticket'
157;2;b'Resolve ticket';b'Resolve ticket'
158;2;b'Resolve ticket';b'Resolve ticket'
159;2;b'Resolve ticket';b'Resolve ticket'
160;2;b'Resolve ticket';b'Resolve ticket'
161;2;b'Resolve ticket';b'Take in charge ticket'
162;2;b'Resolve ticket';b'Resolve ticket'
163;2;b'Resolve ticket';b'Resolve ticket'
164;2;b'Closed';b'Closed'
165;2;b'Resolve ticket';b'Resolve ticket'
166;2;b'Wait';b'Resolve ticket'
167;2;b'Resolve ticket';b'Resolve ticket'
168;2;b'Closed';b'Closed'
169;2;b'Wait';b'Resolve ticket'
170;2;b'Take in charge ticket';b'Take in charge ticket'
171;2;b'Resolve ticket';b'Resolve ticket'
172;2;b'Take in charge ticket';b'Take in charge ticket'
173;2;b'Wait';b'Resolve ticket'
174;2;b'Resolve ticket';b'Resolve ticket'
175;2;b'Resolve ticket';b'Resolve ticket'
176;2;b'Resolve ticket';b'Resolve ticket'
177;2;b'Resolve ticket';b'Resolve ticket'
178;2;b'Resolve ticket';b'Resolve ticket'
179;2;b'Resolve ticket';b'Resolve ticket'
180;2;b'Closed';b'Closed'
181;2;b'Resolve ticket';b'Resolve ticket'
182;2;b'Take in charge ticket';b'Assign seriousness'
183;2;b'Take in charge ticket';b'Resolve ticket'
184;2;b'Wait';b'Resolve ticket'
185;2;b'Wait';b'Resolve ticket'
186;2;b'Resolve ticket';b'Resolve ticket'
187;2;b'Resolve ticket';b'Resolve ticket'
188;2;b'Take in charge ticket';b'Take in charge ticket'
189;2;b'Resolve ticket';b'Resolve ticket'
190;2;b'Take in charge ticket';b'Take in charge ticket'
191;2;b'Take in charge ticket';b'Take in charge ticket'
192;2;b'Wait';b'Resolve ticket'
193;2;b'Resolve ticket';b'Resolve ticket'
194;2;b'Wait';b'Resolve ticket'
195;2;b'Resolve ticket';b'Resolve ticket'
196;2;b'Resolve ticket';b'Resolve ticket'
197;2;b'Resolve ticket';b'Resolve ticket'
198;2;b'Closed';b'Closed'
199;2;b'Resolve ticket';b'Resolve ticket'
200;2;b'Resolve ticket';b'Resolve ticket'
201;2;b'Wait';b'Resolve ticket'
202;2;b'Resolve ticket';b'Resolve ticket'
203;2;b'Resolve ticket';b'Resolve ticket'
204;2;b'Wait';b'Resolve ticket'
205;2;b'Wait';b'Resolve ticket'
206;2;b'Resolve ticket';b'Resolve ticket'
207;2;b'Resolve ticket';b'Resolve ticket'
208;2;b'Resolve ticket';b'Resolve ticket'
209;2;b'Wait';b'Resolve ticket'
210;2;b'Closed';b'Closed'
211;2;b'Resolve ticket';b'Resolve ticket'
212;2;b'Closed';b'Closed'
213;2;b'Take in charge ticket';b'Take in charge ticket'
214;2;b'Resolve ticket';b'Resolve ticket'
215;2;b'Take in charge ticket';b'Take in charge ticket'
216;2;b'Resolve ticket';b'Resolve ticket'
217;2;b'Resolve ticket';b'Resolve ticket'
218;2;b'Take in charge ticket';b'Resolve ticket'
219;2;b'Wait';b'Resolve ticket'
220;2;b'Resolve ticket';b'Resolve ticket'
221;2;b'Closed';b'Closed'
222;2;b'Resolve ticket';b'Resolve ticket'
223;2;b'Wait';b'Resolve ticket'
224;2;b'Closed';b'Closed'
225;2;b'Resolve ticket';b'Resolve ticket'
226;2;b'Resolve ticket';b'Resolve ticket'
227;2;b'Resolve ticket';b'Resolve ticket'
228;2;b'Closed';b'Closed'
229;2;b'Take in charge ticket';b'Take in charge ticket'
230;2;b'Take in charge ticket';b'Take in charge ticket'
231;2;b'Wait';b'Resolve ticket'
232;2;b'Wait';b'Resolve ticket'
233;2;b'Take in charge ticket';b'Take in charge ticket'
234;2;b'Take in charge ticket';b'Assign seriousness'
235;2;b'Resolve ticket';b'Resolve ticket'
236;2;b'Require upgrade';b'Resolve ticket'
237;2;b'Resolve ticket';b'Resolve ticket'
238;2;b'Resolve ticket';b'Resolve ticket'
239;2;b'Resolve ticket';b'Resolve ticket'
240;2;b'Resolve ticket';b'Resolve ticket'
241;2;b'Resolve ticket';b'Resolve ticket'
242;2;b'Resolve ticket';b'Resolve ticket'
243;2;b'Resolve ticket';b'Resolve ticket'
244;2;b'Resolve ticket';b'Resolve ticket'
245;2;b'Take in charge ticket';b'Take in charge ticket'
246;2;b'Resolve ticket';b'Take in charge ticket'
247;2;b'Resolve ticket';b'Closed'
248;2;b'Resolve ticket';b'Resolve ticket'
249;2;b'Resolve ticket';b'Resolve ticket'
250;2;b'Resolve ticket';b'Resolve ticket'
251;2;b'Resolve ticket';b'Resolve ticket'
252;2;b'Resolve ticket';b'Resolve ticket'
253;2;b'Resolve ticket';b'Resolve ticket'
254;2;b'Resolve ticket';b'Resolve ticket'
255;2;b'Resolve ticket';b'Resolve ticket'
256;2;b'Resolve ticket';b'Resolve ticket'
257;2;b'Wait';b'Resolve ticket'
258;2;b'Take in charge ticket';b'Take in charge ticket'
259;2;b'Take in charge ticket';b'Take in charge ticket'
260;2;b'Resolve ticket';b'Resolve ticket'
261;2;b'Wait';b'Resolve ticket'
262;2;b'Resolve ticket';b'Resolve ticket'
263;2;b'Resolve ticket';b'Resolve ticket'
264;2;b'Resolve ticket';b'Resolve ticket'
265;2;b'Resolve ticket';b'Closed'
266;2;b'Resolve ticket';b'Resolve ticket'
267;2;b'Take in charge ticket';b'Assign seriousness'
268;2;b'Closed';b'Closed'
269;2;b'Wait';b'Resolve ticket'
270;2;b'Assign seriousness';b'Assign seriousness'
271;2;b'Wait';b'Resolve ticket'
272;2;b'Resolve ticket';b'Resolve ticket'
273;2;b'Resolve ticket';b'Resolve ticket'
274;2;b'Resolve ticket';b'Resolve ticket'
275;2;b'Take in charge ticket';b'Assign seriousness'
276;2;b'Resolve ticket';b'Resolve ticket'
277;2;b'Take in charge ticket';b'Take in charge ticket'
278;2;b'Closed';b'Closed'
279;2;b'Wait';b'Resolve ticket'
280;2;b'Take in charge ticket';b'Take in charge ticket'
281;2;b'Resolve ticket';b'Resolve ticket'
282;2;b'Resolve ticket';b'Resolve ticket'
283;2;b'Resolve ticket';b'Resolve ticket'
284;2;b'Resolve ticket';b'Resolve ticket'
285;2;b'Resolve ticket';b'Resolve ticket'
286;2;b'Resolve ticket';b'Resolve ticket'
287;2;b'Resolve ticket';b'Resolve ticket'
288;2;b'Resolve ticket';b'Resolve ticket'
289;2;b'Resolve ticket';b'Take in charge ticket'
290;2;b'Take in charge ticket';b'Take in charge ticket'
291;2;b'Resolve ticket';b'Resolve ticket'
292;2;b'Resolve ticket';b'Resolve ticket'
293;2;b'Resolve ticket';b'Resolve ticket'
294;2;b'Resolve ticket';b'Resolve ticket'
295;2;b'Wait';b'Resolve ticket'
296;2;b'Resolve ticket';b'Resolve ticket'
297;2;b'Resolve ticket';b'Resolve ticket'
298;2;b'Wait';b'Resolve ticket'
299;2;b'Resolve ticket';b'Resolve ticket'
300;2;b'Resolve ticket';b'Resolve ticket'
301;2;b'Resolve ticket';b'Resolve ticket'
302;2;b'Resolve ticket';b'Resolve ticket'
303;2;b'Resolve ticket';b'Resolve ticket'
304;2;b'Wait';b'Resolve ticket'
305;2;b'Resolve ticket';b'Resolve ticket'
306;2;b'Resolve ticket';b'Resolve ticket'
307;2;b'Resolve ticket';b'Resolve ticket'
308;2;b'Resolve ticket';b'Resolve ticket'
309;2;b'Wait';b'Resolve ticket'
310;2;b'Resolve ticket';b'Resolve ticket'
311;2;b'Resolve ticket';b'Resolve ticket'
